Step	Training Loss
1384	1.962200
1385	2.048400
1386	2.156300
1387	2.128700
1388	2.090600
1389	2.098400
1390	2.022900
1391	2.107600
1392	2.273000
1393	2.098500
1394	2.241000
1395	2.019000
1396	1.881700
1397	1.912800
1398	1.926100
1399	1.948900
1400	1.982300
1401	2.067100
1402	2.012000
1403	1.892300
1404	1.871600
1405	2.088500
1406	2.219900
1407	1.928400
1408	2.087600
1409	2.051400
1410	1.972500
1411	2.000100
1412	1.983700
1413	2.063300
1414	2.067700
1415	2.006900
1416	2.012700
1417	2.184000
1418	2.020300
1419	2.140100
1420	2.075000
1421	1.974400
1422	1.993700
1423	2.065900
1424	1.929200
1425	2.012100
1426	2.018100
1427	2.144300
1428	1.973900
1429	2.166400
1430	1.984800
1431	2.078600
1432	1.870400
1433	2.030400
1434	2.063500
1435	2.012700
1436	2.022600
1437	2.147400
1438	1.859200
1439	1.988400
1440	2.116100
1441	1.840800
1442	1.987600
1443	1.982500
1444	1.919700
1445	2.053800
1446	1.965300
1447	2.013700
1448	2.082500
1449	1.997000
1450	2.040900
1451	1.932500
1452	1.961300
1453	2.121900
1454	2.107900
1455	2.137000
1456	2.049500
1457	2.053500
1458	2.073000
1459	2.076100
1460	2.036100
1461	2.061100
1462	2.021900
1463	1.874200
1464	2.050900
1465	1.982200
1466	2.002600
1467	2.164000
1468	1.971000
1469	2.001300
1470	1.907300
1471	1.965300
1472	2.024500
1473	2.009100
1474	2.094100
1475	2.002000
1476	2.006500
1477	2.164300
1478	2.018000
1479	1.845300
1480	2.098700
1481	1.949600
1482	2.086000
1483	1.990700
1484	2.020500
1485	1.927800
1486	2.110100
1487	2.051800
1488	2.104900
1489	2.068600
1490	1.922800
1491	1.956700
1492	2.018900
1493	2.029400
1494	1.880200
1495	2.031500
1496	2.055100
1497	2.100800
1498	2.077500
1499	2.028900
1500	1.889300
1501	2.092400
1502	2.106500
1503	2.062400
1504	2.128000
1505	2.073100
1506	2.009500
1507	1.922500
1508	2.161100
1509	2.138300
1510	1.918800
1511	1.955500
1512	2.087200
1513	1.957900
1514	2.000000
1515	2.116400
1516	1.960600
1517	1.999300
1518	2.020800
1519	1.943700
1520	1.910600
1521	2.039500
1522	2.072600
1523	2.182000
1524	1.934600
1525	2.218800
1526	2.040600
1527	2.089700
1528	2.022300
1529	1.956600
1530	2.122100
1531	2.074800
1532	1.956200
1533	2.110500
1534	2.105500
1535	1.956400
1536	2.165100
1537	1.959600
1538	1.884400
1539	2.041500
1540	2.021500
1541	1.885600
1542	1.950700
1543	2.090100
1544	2.038800
1545	2.002800
1546	2.122600
1547	2.107000
1548	2.103400
1549	1.963300
1550	2.122100
1551	2.130000
1552	1.935000
1553	1.917800
1554	2.031900
1555	2.027000
1556	2.008500
1557	1.943600
1558	1.983600
1559	2.048300
1560	1.938600
1561	2.027500
1562	2.067100
1563	2.167400
1564	1.733000
1565	2.059600
1566	2.067100
1567	2.026100
1568	1.881600
1569	1.985100
1570	2.091200
1571	1.892100
1572	2.012100
1573	2.017500
1574	1.937000
1575	2.046300
1576	1.927000
1577	2.078100
1578	1.985600
1579	1.991100
1580	1.885400
1581	2.133900
1582	1.983800
1583	2.112400
1584	2.081400
1585	2.072600
1586	1.911900
1587	1.859900
1588	2.049800
1589	2.027600
1590	1.819400
1591	2.090600
1592	2.040400
1593	1.928800
1594	1.955900
1595	2.051200
1596	1.900100
1597	1.898800
1598	2.002100
1599	2.022400
1600	2.016300
1601	2.125800
1602	1.947900
1603	2.048700
1604	2.086700
1605	2.050900
1606	1.924900
1607	1.862500
1608	1.963300
1609	2.018700
1610	2.033300
1611	1.969900
1612	1.875700
1613	1.987800
1614	2.060800
1615	2.090300
1616	2.110700
1617	2.164700
1618	2.076200
1619	1.979200
1620	2.055300
1621	2.118900
1622	1.939900
1623	2.118500
1624	2.044300
1625	2.032000
1626	1.904400
1627	1.755800
1628	1.966600
1629	1.941600
1630	2.125000
1631	1.952200
1632	2.096300
1633	2.057500
1634	1.933400
1635	2.118300
1636	1.997600
1637	2.131000
1638	2.113900
1639	2.084700
1640	1.943900
1641	1.955500
1642	1.991700
1643	2.071200
1644	1.994400
1645	2.109500
1646	2.030300
1647	2.000300
1648	2.050500
1649	2.008100
1650	2.047400
1651	2.087400
1652	2.092200
1653	1.943400
1654	2.057100
1655	2.058500
1656	2.002800
1657	1.841100
1658	2.089800
1659	2.062200
1660	1.967900
1661	2.065500
1662	1.904400
1663	1.941000
1664	2.091700
1665	1.946700
1666	2.017500
1667	1.965600
1668	2.079000
1669	1.989500
1670	1.986100
1671	2.005800
1672	2.096100
1673	2.000100
1674	1.989400
1675	2.045400
1676	2.121600
1677	1.942300
1678	1.991700
1679	2.124400
1680	2.005100
1681	2.017100
1682	1.801500
1683	1.975100
1684	1.970400
1685	1.760000
1686	2.043900
1687	2.030000
1688	2.066800
1689	2.038600
1690	1.930500
1691	1.932500
1692	2.194400
1693	2.134700
1694	1.837900
1695	1.879800
1696	1.884000
1697	1.908700
1698	1.846200
1699	1.890400
1700	2.012900
1701	2.025700
1702	1.876800
1703	1.976800
1704	2.043200
1705	2.118300
1706	1.965600
1707	2.085900
