 [3200/4689 1:09:31 < 32:22, 0.77 it/s, Epoch 2.05/3]
Step	Training Loss
1142	2.080700
1143	1.974800
1144	2.125700
1145	2.093500
1146	2.045300
1147	1.871100
1148	2.034100
1149	2.102600
1150	2.152800
1151	2.015300
1152	2.104000
1153	2.062500
1154	2.006300
1155	2.000200
1156	2.171600
1157	2.047100
1158	2.113600
1159	2.154600
1160	2.084900
1161	1.996700
1162	1.917700
1163	2.096100
1164	2.070900
1165	2.117700
1166	2.043400
1167	2.163500
1168	2.101200
1169	2.040100
1170	2.074700
1171	2.197000
1172	2.133300
1173	1.923200
1174	1.963000
1175	2.173200
1176	1.939900
1177	2.146200
1178	2.051000
1179	2.046800
1180	2.185100
1181	2.125900
1182	2.076900
1183	2.105600
1184	2.206000
1185	2.073400
1186	2.128800
1187	1.981900
1188	2.117700
1189	2.148800
1190	2.021400
1191	2.174400
1192	2.149700
1193	2.055200
1194	2.166400
1195	2.132200
1196	2.014100
1197	2.143300
1198	2.126700
1199	2.131200
1200	2.055900
1201	1.945300
1202	2.148000
1203	2.105000
1204	2.154900
1205	2.187500
1206	2.046400
1207	2.149200
1208	2.120200
1209	2.072800
1210	2.049800
1211	1.979100
1212	1.918100
1213	1.918700
1214	2.044800
1215	2.194000
1216	2.017400
1217	2.157200
1218	2.181000
1219	2.130500
1220	2.089100
1221	2.104900
1222	1.975700
1223	2.040200
1224	2.143400
1225	2.122800
1226	2.101900
1227	1.923800
1228	2.129600
1229	2.120500
1230	2.105500
1231	2.133500
1232	2.027600
1233	2.142200
1234	2.222400
1235	1.910900
1236	2.173100
1237	1.895100
1238	2.054200
1239	2.369600
1240	2.153600
1241	2.181600
1242	2.031800
1243	2.105100
1244	2.001500
1245	2.109400
1246	1.822000
1247	2.116200
1248	2.022100
1249	1.944700
1250	2.062100
1251	2.052100
1252	2.304100
1253	2.119400
1254	1.978600
1255	1.948100
1256	2.018000
1257	2.050800
1258	2.145500
1259	2.177100
1260	1.980700
1261	2.030300
1262	2.077700
1263	2.050800
1264	2.147300
1265	2.040400
1266	1.966200
1267	2.205700
1268	2.047900
1269	2.001800
1270	2.124300
1271	2.116800
1272	2.061400
1273	1.971600
1274	1.936000
1275	2.046200
1276	2.113700
1277	2.077300
1278	2.117700
1279	2.005400
1280	1.997500
1281	2.035400
1282	2.325500
1283	2.151000
1284	2.136200
1285	2.241600
1286	2.010600
1287	2.063000
1288	2.059300
1289	2.236400
1290	2.161500
1291	2.113900
1292	2.171500
1293	2.109700
1294	2.100200
1295	1.961200
1296	1.984700
1297	1.960800
1298	2.083000
1299	1.986000
1300	2.065000
1301	1.959800
1302	2.120300
1303	2.137400
1304	2.135300
1305	1.937000
1306	1.995600
1307	1.940500
1308	2.035700
1309	2.049000
1310	2.142900
1311	2.099300
1312	1.911000
1313	2.163300
1314	2.085300
1315	2.047400
1316	2.144300
1317	2.005600
1318	2.208100
1319	2.095200
1320	2.192600
1321	2.232400
1322	1.964700
1323	1.969500
1324	2.154700
1325	1.926000
1326	2.186400
1327	2.229800
1328	2.155000
1329	1.963600
1330	2.140600
1331	2.125800
1332	2.080900
1333	2.124400
1334	2.065900
1335	2.170400
1336	2.010400
1337	1.902300
1338	2.070400
1339	2.066500
1340	2.068200
1341	2.057300
1342	2.078200
1343	2.084800
1344	2.116500
1345	2.053300
1346	2.051200
1347	2.060500
1348	2.145300
1349	2.212100
1350	2.119800
1351	2.083100
1352	1.891300
1353	2.087100
1354	2.138300
1355	2.218300
1356	2.100100
1357	2.060200
1358	1.975400
1359	2.165300
1360	2.198300
1361	2.074400
1362	1.979700
1363	2.003000
1364	2.036900
1365	2.071500
1366	2.103200
1367	1.860200
1368	2.041700
1369	1.945400
1370	2.078000
1371	2.001900
1372	2.038800
1373	2.041300
1374	2.078000
1375	1.887500
1376	2.184400
1377	2.104200
1378	2.156900
1379	2.019400
1380	2.139800
1381	2.145400
1382	2.020300
1383	1.958100
1384	2.006300
1385	2.085200
1386	2.195300
1387	2.178000
1388	2.134900
1389	2.143300
1390	2.060500
1391	2.145800
1392	2.312300
1393	2.131600
1394	2.279300
1395	2.057100
1396	1.915700
1397	1.945100
1398	1.978300
1399	1.990900
1400	2.022100
1401	2.116900
1402	2.045300
1403	1.932000
1404	1.919700
1405	2.131100
1406	2.263500
1407	1.988600
1408	2.130900
1409	2.106200
1410	2.013700
1411	2.044900
1412	2.013300
1413	2.098100
1414	2.103300
1415	2.040400
1416	2.054600
1417	2.215000
1418	2.059500
1419	2.175200
1420	2.111700
1421	2.011200
1422	2.034500
1423	2.103900
1424	1.969700
1425	2.062000
1426	2.061600
1427	2.177300
1428	2.013100
1429	2.214600
1430	2.026800
1431	2.116500
1432	1.917200
1433	2.064500
1434	2.104400
1435	2.055600
1436	2.061400
1437	2.209000
1438	1.892400
1439	2.030500
1440	2.150400
1441	1.883100
1442	2.021200
1443	2.026400
1444	1.965900
1445	2.094700
1446	2.012200
1447	2.056600
1448	2.118800
1449	2.036800
1450	2.081300
1451	1.973600
1452	2.003700
1453	2.166700
1454	2.146800
1455	2.174000
1456	2.089900
1457	2.083800
1458	2.116100
1459	2.110100
1460	2.071100
1461	2.095400
1462	2.059100
1463	1.916000
1464	2.100600
1465	2.024200
1466	2.036200
1467	2.206500
1468	2.011200
1469	2.044500
1470	1.948300
1471	2.001700
1472	2.058500
1473	2.047400
1474	2.135000
1475	2.038500
1476	2.046800
1477	2.203000
1478	2.051500
1479	1.883600
1480	2.144300
1481	1.985200
1482	2.129400
1483	2.033200
1484	2.070700
1485	1.981400
1486	2.149700
1487	2.094600
1488	2.140900
1489	2.105000
1490	1.965400
1491	2.006700
1492	2.060900
1493	2.066800
1494	1.923600
1495	2.075400
1496	2.093800
1497	2.139800
1498	2.111000
1499	2.075500
1500	1.938100
1501	2.128600
1502	2.145800
1503	2.095800
1504	2.164100
1505	2.113600
1506	2.056100
1507	1.973500
1508	2.199600
1509	2.173800
1510	1.959400
1511	1.994100
1512	2.139900
1513	2.004200
1514	2.037100
1515	2.162100
1516	2.000300
1517	2.063900
1518	2.057400
1519	1.988100
1520	1.963000
1521	2.072500
1522	2.108400
1523	2.219000
1524	1.988200
1525	2.254600
1526	2.071500
1527	2.128000
1528	2.062400
1529	1.999900
1530	2.155200
1531	2.121200
1532	2.000800
1533	2.143900
1534	2.141300
1535	1.998100
1536	2.199200
1537	1.994700
1538	1.928100
1539	2.080200
1540	2.056900
1541	1.929400
1542	1.991100
1543	2.131400
1544	2.078900
1545	2.042300
1546	2.165600
1547	2.142500
1548	2.142100
1549	1.999100
1550	2.161300
1551	2.172100
1552	1.970500
1553	1.953300
1554	2.080600
1555	2.071200
1556	2.045700
1557	1.980600
1558	2.022300
1559	2.086700
1560	1.978400
1561	2.067300
1562	2.105800
1563	2.197600
1564	1.771700
1565	2.100900
1566	2.105300
1567	2.070600
1568	1.924200
1569	2.034200
1570	2.134900
1571	1.937700
1572	2.064000
1573	2.057600
1574	1.985100
1575	2.089500
1576	1.967800
1577	2.128700
1578	2.045000
1579	2.032500
1580	1.932000
1581	2.178900
1582	2.038200
1583	2.153100
1584	2.125600
1585	2.120000
1586	1.967100
1587	1.902500
1588	2.100200
1589	2.072700
1590	1.863800
1591	2.134100
1592	2.089200
1593	1.985600
1594	1.995900
1595	2.096500
1596	1.946800
1597	1.950800
1598	2.047600
1599	2.063300
1600	2.060600
1601	2.171900
1602	1.992000
1603	2.096700
1604	2.130700
1605	2.095100
1606	1.963000
1607	1.900000
1608	2.016900
1609	2.055000
1610	2.077800
1611	2.017800
1612	1.920400
1613	2.026000
1614	2.113800
1615	2.142000
1616	2.149400
1617	2.208600
1618	2.122300
1619	2.022900
1620	2.118100
1621	2.172300
1622	1.987100
1623	2.159300
1624	2.092900
1625	2.083200
1626	1.943400
1627	1.814000
1628	2.018900
1629	1.982300
1630	2.169800
1631	1.987800
1632	2.144500
1633	2.103500
1634	1.972200
1635	2.165500
1636	2.041300
1637	2.172400
1638	2.148200
1639	2.124200
1640	1.987600
1641	2.001800
1642	2.046600
1643	2.121500
1644	2.046000
1645	2.156500
1646	2.064700
1647	2.048100
1648	2.109200
1649	2.056400
1650	2.091300
1651	2.132100
1652	2.132700
1653	1.996800
1654	2.112800
1655	2.105200
1656	2.049600
1657	1.884300
1658	2.131100
1659	2.101100
1660	2.015100
1661	2.123200
1662	1.951000
1663	1.991600
1664	2.137800
1665	1.994400
1666	2.064900
1667	2.009900
1668	2.120300
1669	2.031900
1670	2.033800
1671	2.051200
1672	2.137900
1673	2.048300
1674	2.031400
1675	2.095500
1676	2.169100
1677	2.023100
1678	2.036600
1679	2.174400
1680	2.044700
1681	2.064500
1682	1.848000
1683	2.013500
1684	2.009500
1685	1.809900
1686	2.086600
1687	2.083300
1688	2.104500
1689	2.084100
1690	1.976900
1691	1.972100
1692	2.239600
1693	2.180200
1694	1.878400
1695	1.920100
1696	1.932400
1697	1.954800
1698	1.890100
1699	1.926000
1700	2.053700
1701	2.078600
1702	1.931800
1703	2.022000
1704	2.094000
1705	2.165600
1706	2.007700
1707	2.135500
1708	1.937800
1709	2.037700
1710	2.247500
1711	2.089700
1712	2.013200
1713	2.121500
1714	2.100900
1715	2.074200
1716	2.058000
1717	1.863800
1718	2.061600
1719	2.100700
1720	1.879700
1721	2.071600
1722	2.070900
1723	2.106900
1724	1.988100
1725	2.034600
1726	2.051500
1727	2.085800
1728	2.012400
1729	2.097900
1730	2.077700
1731	2.109900
1732	2.124800
1733	1.913600
1734	2.047500
1735	2.042700
1736	1.953500
1737	2.292200
1738	1.986600
1739	2.182100
1740	2.138700
1741	2.026000
1742	2.143000
1743	1.978500
1744	2.131600
1745	2.097700
1746	2.042100
1747	1.870500
1748	2.100500
1749	2.055800
